t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-18","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","2000","2400","2000"
"2025-08-18","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1500","1800","1600"
"2025-08-17","Brinjal","10372","Kumrikata","18","Assam","323","Nalbari","Brinjal","1800","2400","2000"
"2025-08-17","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","1800","1700"
"2025-08-16","Brinjal","10376","Ghilamara","18","Assam","307","Lakhimpur","Brinjal","2500","2800","2700"
"2025-08-16","Brinjal","10356","Mariani","18","Assam","312","Jorhat","Brinjal","3000","3800","3800"
"2025-08-16","Brinjal","10346","Jaleswar","18","Assam","302","Goalpara","Brinjal","1500","2000","1800"
"2025-08-16","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1500"
"2025-08-16","Brinjal","10339","Tangni","18","Assam","325","Darrang","Brinjal","1200","1600","1500"
"2025-08-16","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1800","2400","2000"
"2025-08-16","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-08-15","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1500","2000","1600"
"2025-08-15","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-15","Brinjal","10348","Lakhipur","18","Assam","302","Goalpara","Brinjal","1200","1800","1600"
"2025-08-15","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1500"
"2025-08-15","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","1200","1500","1500"
"2025-08-13","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1500"
"2025-08-13","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2800","3000","3000"
"2025-08-13","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2400","2000"
"2025-08-13","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3000","3200","3200"
"2025-08-13","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","1500","2000","1800"
